NDB_No,Nutrient_Code,Nutrient_name,Derivation_Code,Output_value,Output_uom
45001846,203,Protein,LCCS,7.5,g
45001846,204,Total lipid (fat),LCCS,42.5,g
45001846,205,"Carbohydrate, by difference",LCCS,47.5,g
45001846,208,Energy,LCCS,600.0,kcal
45001846,269,"Sugars, total",LCCS,40.0,g
45001846,291,"Fiber, total dietary",LCCS,5.0,g
45001846,301,"Calcium, Ca",LCCD,100.0,mg
45001846,303,"Iron, Fe",LCCD,1.8,mg
45001846,307,"Sodium, Na",LCCS,88.0,mg
45001846,318,"Vitamin A, IU",LCCD,0.0,IU
45001846,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45001846,601,Cholesterol,LCSL,12.0,mg
45001846,605,"Fatty acids, total trans",LCCS,0.0,g
45001846,606,"Fatty acids, total saturated",LCCS,17.5,g
45001850,203,Protein,LCCS,7.69,g
45001850,204,Total lipid (fat),LCCS,9.62,g
45001850,205,"Carbohydrate, by difference",LCCS,50.0,g
45001850,208,Energy,LCCS,308.0,kcal
45001850,269,"Sugars, total",LCCS,7.69,g
45001850,291,"Fiber, total dietary",LCSL,3.8,g
45001850,301,"Calcium, Ca",LCCD,77.0,mg
45001850,303,"Iron, Fe",LCCD,1.38,mg
45001850,307,"Sodium, Na",LCCS,1346.0,mg
45001850,318,"Vitamin A, IU",LCCD,385.0,IU
45001850,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45001850,601,Cholesterol,LCCS,19.0,mg
45001850,605,"Fatty acids, total trans",LCCS,0.0,g
45001850,606,"Fatty acids, total saturated",LCCS,5.77,g
45001851,203,Protein,LCCS,6.67,g
45001851,204,Total lipid (fat),LCCS,1.11,g
45001851,205,"Carbohydrate, by difference",LCCS,75.56,g
45001851,208,Energy,LCCS,333.0,kcal
45001851,307,"Sodium, Na",LCCD,0.0,mg
45001928,203,Protein,LCCS,2.35,g
45001928,204,Total lipid (fat),LCCD,0.0,g
45001928,205,"Carbohydrate, by difference",LCCS,3.53,g
45001928,208,Energy,LCCS,24.0,kcal
45001928,269,"Sugars, total",LCSL,1.18,g
45001928,291,"Fiber, total dietary",LCCS,2.4,g
45001928,301,"Calcium, Ca",LCCD,118.0,mg
45001928,303,"Iron, Fe",LCCD,1.69,mg
45001928,304,"Magnesium, Mg",LCCD,47.0,mg
45001928,306,"Potassium, K",LCCS,435.0,mg
45001928,307,"Sodium, Na",LCCS,112.0,mg
45001928,315,"Manganese, Mn",LCCD,0.0,mg
45001928,318,"Vitamin A, IU",LCCD,7059.0,IU
45001928,401,"Vitamin C, total ascorbic acid",LCCD,49.4,mg
45001928,417,"Folate, total",LCCD,94.0,mcg
45001928,430,Vitamin K (phylloquinone),LCCD,442.4,mcg
45001928,601,Cholesterol,LCCD,0.0,mg
45001928,605,"Fatty acids, total trans",LCCS,0.0,g
45001928,606,"Fatty acids, total saturated",LCCD,0.0,g
45002000,203,Protein,LCCS,25.0,g
45002000,204,Total lipid (fat),LCCS,50.0,g
45002000,205,"Carbohydrate, by difference",LCCS,18.75,g
45002000,208,Energy,LCCS,625.0,kcal
45002000,269,"Sugars, total",LCCS,6.25,g
45002000,291,"Fiber, total dietary",LCCS,9.4,g
45002000,301,"Calcium, Ca",LCCD,0.0,mg
45002000,303,"Iron, Fe",LCCD,2.25,mg
45002000,307,"Sodium, Na",LCCS,375.0,mg
45002000,318,"Vitamin A, IU",LCCD,0.0,IU
45002000,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45002000,601,Cholesterol,LCCD,0.0,mg
45002000,605,"Fatty acids, total trans",LCCS,0.0,g
45002000,606,"Fatty acids, total saturated",LCCS,10.94,g
45002042,203,Protein,LCCS,16.36,g
45002042,204,Total lipid (fat),LCCS,5.45,g
45002042,205,"Carbohydrate, by difference",LCCS,69.09,g
45002042,208,Energy,LCCS,364.0,kcal
45002042,269,"Sugars, total",LCCS,16.36,g
45002042,291,"Fiber, total dietary",LCCS,16.4,g
45002042,301,"Calcium, Ca",LCCD,36.0,mg
45002042,303,"Iron, Fe",LCCD,4.91,mg
45002042,307,"Sodium, Na",LCCS,418.0,mg
45002042,318,"Vitamin A, IU",LCCD,0.0,IU
45002042,401,"Vitamin C, total ascorbic acid",LCCD,2.2,mg
45002042,601,Cholesterol,LCCD,0.0,mg
45002042,605,"Fatty acids, total trans",LCCS,0.0,g
45002042,606,"Fatty acids, total saturated",LCCD,0.0,g
45002042,645,"Fatty acids, total monounsaturated",LCCS,0.0,g
45002042,646,"Fatty acids, total polyunsaturated",LCCS,2.73,g
45002108,203,Protein,LCCS,0.0,g
45002108,204,Total lipid (fat),LCCS,64.29,g
45002108,205,"Carbohydrate, by difference",LCCD,0.0,g
45002108,208,Energy,LCCS,643.0,kcal
45002108,307,"Sodium, Na",LCCS,500.0,mg
45002108,601,Cholesterol,LCCD,0.0,mg
45002108,605,"Fatty acids, total trans",LCCS,0.0,g
45002108,606,"Fatty acids, total saturated",LCCS,3.57,g
45002108,645,"Fatty acids, total monounsaturated",LCCS,42.86,g
45002108,646,"Fatty acids, total polyunsaturated",LCCS,17.86,g
45002119,203,Protein,LCCS,1.67,g
45002119,204,Total lipid (fat),LCCD,0.0,g
45002119,205,"Carbohydrate, by difference",LCCS,5.0,g
45002119,208,Energy,LCCS,33.0,kcal
45002119,269,"Sugars, total",LCCS,3.33,g
45002119,291,"Fiber, total dietary",LCCS,1.7,g
45002119,301,"Calcium, Ca",LCCD,33.0,mg
45002119,303,"Iron, Fe",LCCD,1.2,mg
45002119,304,"Magnesium, Mg",LCCD,27.0,mg
45002119,306,"Potassium, K",LCCS,283.0,mg
45002119,307,"Sodium, Na",LCCD,0.0,mg
45002119,318,"Vitamin A, IU",LCCD,1250.0,IU
45002119,401,"Vitamin C, total ascorbic acid",LCCD,15.0,mg
45002119,404,Thiamin,LCCD,0.0,mg
45002119,405,Riboflavin,LCCD,0.113,mg
45002119,406,Niacin,LCCD,1.333,mg
45002119,601,Cholesterol,LCCD,0.0,mg
45002119,605,"Fatty acids, total trans",LCCS,0.0,g
45002119,606,"Fatty acids, total saturated",LCCD,0.0,g
45002246,203,Protein,LCCS,0.0,g
45002246,204,Total lipid (fat),LCCD,0.0,g
45002246,205,"Carbohydrate, by difference",LCCS,10.83,g
45002246,208,Energy,LCCS,42.0,kcal
45002246,269,"Sugars, total",LCCS,9.17,g
45002246,306,"Potassium, K",LCCS,192.0,mg
45002246,307,"Sodium, Na",LCCD,0.0,mg
45002246,401,"Vitamin C, total ascorbic acid",LCCD,25.0,mg
45002510,203,Protein,LCCS,0.83,g
45002510,204,Total lipid (fat),LCCD,0.0,g
45002510,205,"Carbohydrate, by difference",LCCS,3.31,g
45002510,208,Energy,LCCS,21.0,kcal
45002510,269,"Sugars, total",LCCS,2.48,g
45002510,291,"Fiber, total dietary",LCCS,0.8,g
45002510,301,"Calcium, Ca",LCCD,17.0,mg
45002510,303,"Iron, Fe",LCCD,0.6,mg
45002510,307,"Sodium, Na",LCCS,149.0,mg
45002510,318,"Vitamin A, IU",LCCD,413.0,IU
45002510,401,"Vitamin C, total ascorbic acid",LCCD,9.9,mg
45002510,601,Cholesterol,LCCD,0.0,mg
45002510,605,"Fatty acids, total trans",LCCS,0.0,g
45002510,606,"Fatty acids, total saturated",LCCD,0.0,g
45002557,203,Protein,LCCS,7.41,g
45002557,204,Total lipid (fat),LCCD,0.0,g
45002557,205,"Carbohydrate, by difference",LCCS,88.89,g
45002557,208,Energy,LCCS,370.0,kcal
45002557,269,"Sugars, total",LCCS,55.56,g
45002557,284,"Carbohydrate, other",LCCS,33.0,g
45002557,291,"Fiber, total dietary",LCCS,3.7,g
45002557,301,"Calcium, Ca",LCCD,0.0,mg
45002557,303,"Iron, Fe",LCCD,6.67,mg
45002557,304,"Magnesium, Mg",LCCD,59.0,mg
45002557,305,"Phosphorus, P",LCCD,148.0,mg
45002557,306,"Potassium, K",LCCS,167.0,mg
45002557,307,"Sodium, Na",LCCS,241.0,mg
45002557,309,"Zinc, Zn",LCCD,5.56,mg
45002557,312,"Copper, Cu",LCCD,0.148,mg
